Text,Label,task_1
"The ongoing protest of doctors is just and praiseworthy, doctors deserve a safe workspace. But I would like to suggest to protesters that don't only think of short term goals which includes giving justice to that intern but also focus on-#DoctorsFightBack #DoctorsUnderOppression",0,NOT
"Mahendra Singh Dhoni's love for the Nation, Armed Forces and Soldiers has been intact which is truly commendable. He is Nation's Hero. No one represents our Country better than him. I stand with @msdhoni  #DhoniKeepsTheGlove #DhoniKeSaathDesh   #IndiaWithDhoni https://t.co/HeP5yq94OC",0,NOT
All critical patients and term pregnant ladies are being given due care in all hospitals! Help us keep yellow journalism at bay! DON'T QUESTION OUR HUMANITY.  #DoctorsFightBack #Savethedoctors #Bengal @narendramodi @ZeeNews @republic @ArnabGoswamiRtv @sabya_mukherjee @sumersethi https://t.co/Pgl6Yrh11h,0,NOT
"@PhilipRucker We remember Jackie, M is no Jackie #TrumpsAnInternationalDisgrace #TrumpIsATraitor #dunningkrugereffect",0,NOT
Pull the wool from over your eyes people!!     Rest assured the #douchebAG Barr has cleverly destroyed any damaging evidence and constructed a proper defense for any misconduct claims which may arise.    Hook.Line.Sinker! https://t.co/hE3FdjRR3F,0,NOT
Please do not follow O.J.Simpson. We don't need to give ANOTHER egomaniacal narcissist a platform...Thank you. #OJSimpson #evil #MURDERER,1,HOF
Click &amp; Read: Crotch Rocket #Tool [poetry] https://t.co/LHWvc1lCzY #crotchrocket #douchebag #funny #poetry #streetbike,0,NOT
"@vp Here, let me fix this quote/headline for you: 'I'm An Asshole.'  #fuckpence #fucktrump #loveislove #pride https://t.co/H1LKjbkD3f",1,HOF
"â€œJohnson doesnâ€™t just seem like a fucking moron, he is a fucking moronâ€ #BorisJohnsonShouldNotBePM #ToryLeadeshipContest https://t.co/Ro7lCqvru2",1,HOF
"Trump: â€œI am the biggest Mobbed-up, traitorous fucking piece of shit in American history. Fuck America. Fuck all of you.â€ #fucktrump #impeachtrump #ImpeachTrumpNow https://t.co/0SCzDaR1mq",1,HOF
"5,200 people in ICE custody quarantined https://t.co/FSL9P7LeIk for exposure to mumps or chicken pox    #PublicHealth  ðŸ’‰ #VaccinesWork  #TheResistance  ðŸ—³ #VoteOutTheGOP  #tRumpDetentionCamps  ðŸš¨ #Quarantine  #JohnMcCainDay  ðŸ˜· #Meadles &amp; #Mumps  #BeWiseAndImmunize  ðŸ¤¡ #TrumpIsATraitor https://t.co/6tGkxXBK2u",0,NOT
"@MattHancock Great, more reason for #dissolvetheunion #indyref2 #BorisJohnsonShouldNotBePM https://t.co/mCkU3L5xd3",0,NOT
"Unbelievable, and here I have been trying for the last good few hours. Utterly disappointing.   #ShameOnICC #PAKvIND https://t.co/9ofQFQzXIN",0,NOT
Today's World Trending #ShameOnICC  ðŸ˜œ    #ICCWorldCup2019 #ICCWorldCup #INDvNZ https://t.co/JWgLyobHNi,0,NOT
#IdiotTrump Flips Out At #FoxNews And Falsely Claims #Taxes Aren't #Tariffs https://t.co/6PjlZOPoH1,0,NOT
Warrior Woman Thursday retweet party for @BeamMEupET237  #001    #DumpTrump2020   #fucktrump    Follow her     Then follow all  Who    Like :    Retweets :    Comments :    Vett as u go     Let's unite with Theresa ðŸ’™ https://t.co/gnY5CiohuB,0,NOT
#ToryLeadershipDebate Brexit #Brexit Boris Johnson #borisjohnson #BorisJohnsonShouldNotBePM #Boris https://t.co/2KQrLppQDn,0,NOT
Cannot wait until Sunday &amp; @GStephanopoulos interview with #Trump!   If they released the BOMBSHELLS they did - then what is @ABC saving for the ratings?  #TrumpTantrum #ABCNews #TrumpIsATraitor,0,NOT
Saw this earlier. I'd just like to confirm to the world that Brock Turner (#BrockTurner) is indeed still a rapist (#rapist) https://t.co/4tMujZ6oMn,1,HOF
The beauty at its beauty. Well crafted. High Performance. #OnePlus7Pro in new 'Almond'    @suriyaisthebest @Pavankumarnamba @Siva79999352 @JillaMassVijay - Get it now on @amazonIN ðŸ‘‡    #OnePlus7 #OnePlus7IsHere #OnePlus7Pro #OnePlus  #ShameOnICC #FridayMotivation #FridayFeeling,0,NOT
Who needs to see Boris in a debate? This is all we need to know. #BorisJohnsonShouldNotBePM #ScotlandDoesntVoteTory #DemocracyIsAJoke #GlobalElite https://t.co/Xvh1dLKEWK,0,NOT
Luke at it again. Hero. â™¡â™¡â™¡#fucktrump https://t.co/GWHwVpmffM,0,NOT
"Dear ICC, please don't forget that BCCI is your father.....    So,mind on your business....    Do better umpiring....    #DhoniKeepsTheGlove https://t.co/t1vd3yWDbM",1,HOF
ICC you can stop dhoni but can't stop his fans . ðŸ‡®ðŸ‡³ Jai Hind .  #Msd #DhoniKeepsTheGlove #CWC19 #INDvAUS #BalidanBadge https://t.co/0ASG73UmO4,0,NOT
Token strike today. Various hosp &amp; med colleges of Delhi supporting and standing in solidarity wid our colleagues from WB. It may escalate if CM @MamataOfficial doesn't take any concrete action.Need for strict central laws &amp; their implementation as &amp; when reqd. #DoctorsFightBack https://t.co/7e8TDTm0Mt,0,NOT
#ImpeachTrumpNow WE NEED TO REMOVE THIS MOTHERFUCKER RIGHT NOW!!! AMERICA HAS FALLEN TO IDIOTS!!! #FUCKTRUMP,1,HOF
"This clown ðŸ˜‚ðŸ˜‚ â¬‡    He's got nothing, he's so full of shit!    #FuckTrump https://t.co/nFZSD2UGSB",1,HOF
"@QuancyClayborne I think in this case I'd actually take the dinner with schmucks, because at least I could fight back, get in a few good insults and feel better about myself for it, unlike the other scenario you too vividly described. #FuckTrump",1,HOF
#DoctorsFightBack #DoctorsProtest #DoctorsStrike dear media &amp; doctors i am just as upset 4 the way u've been treated..Bt just wanted to know why wasn't this agitation &amp; protest wen 1 of ur colleague was killed..if 1slap cud agitate u so much wat bout 1 life &amp; nw others suffering.,0,NOT
This tweet is only in solidarity of of all my Doctor friends across the country. You deserve better than this. Way better than this.     #DoctorsFightBack .,0,NOT
Hump Day High Noon Retweet Party. ðŸ¥³ðŸ¥³ðŸ¥³     For @Ironhorse76 come on #resisters letâ€™s show her some love ðŸ’™ðŸ’™    #fucktrump  #DumpTrump2020   #Unite2020   #VoteBlueNoMatterWho     It's simple     Just follow all who :    Like :    Retweets :    Comment : https://t.co/GD4KbWL3hP,0,NOT
Hump Day retweet partyðŸ¥³ðŸ¥³ðŸ¥³   for my Ex #twitterwife @fuckthewall2019     #Extwitterwife  #fucktrump  #DumpTrump2020   #Unite2020   #VoteBlueNoMatterWho     It's simple     Just follow all who :    Like :    Retweets :    Comment : https://t.co/L9bUc5AdXn,0,NOT
@ICC @cricketworldcup @UberEats #shameonicc  Waiting for 4 years for such a grand Tournament and four-matches are abandoned next time be focused on the venue instead on the wicketkeeper's gloves,1,HOF
#ShameOnICC for organising such an important tournament at such a time when half of the matches are getting washed away...... https://t.co/rYwp6ORTPk,1,HOF
"Havenâ€™t been on much, not feeling well. Just wanted to say hi to everyone. Also wanted to celebrate that today (June 14th) is John McCain DayðŸ‡ºðŸ‡¸ Oh and  F**K TRUMP! ðŸ˜  #JohnMcCainDayJune14th #JohnMcCainAmericanHero #TrumpIsADisgrace #fucktrump https://t.co/RyzfiLqlpa",1,HOF
Priceless! ðŸ¤£   Reliving old memories with your son!   'Melania T' ðŸ˜œ     #FuckTrump https://t.co/TAELLltN7T,1,HOF
"Breaking News. After all the controversies, Dhoni decides how to tackle the issue for Sunday's #IndvAus Clash. ðŸ˜€    Decides to Parajump into the ground with the badges !!!   #DhoniKeepsTheGlove   #DhoniKeSaathDesh https://t.co/k9RtDeAyjl",0,NOT
Ladies and gentlemen...... I give you Boris Johnson your next PM ðŸ˜±ðŸ¤¦â€â™‚ï¸     #scotlandsforeurope #Scotland #ScotlandisNow #IndyRef2 #Scotref #BorisJohnsonShouldNotBePM #BorisJohnson https://t.co/rE2CMU5Vmc,0,NOT
@DanielCollins85 @Muscles4851 @BeattieDoug @ColmDore Doug is a fence jumper looking for relevance. If or when a war crimes tribunal (doubtful) is set up to look into Afghanistan or Iraq Dougy will not be so outspoken. His book will be used as evidence against him. #Murderer.,1,HOF
#NRSMCH  Kolkata incident shouldn't have happened .They must be given justice not because they are doctors but they are human  being.   #DoctorsUnderOppression #DoctorsFightBack,0,NOT
Mass Murderer Yasin Malik has human rights but doctors don't have!    Save doctors of your state before crying for save democracy.    West Bengal want Freedom from @MamataOfficial.     West Bengal want freedom from violence and political Terrorism.    #DoctorsFightBack #DoctorsStrike,0,NOT
#TrumpIsNotTheMessiah #TrumpIsACriminal #TrumpIsANationalSecurityThreat #TrumpIsAFraud #TrumpIsATraitor #TrumpIsAMoron     The Belief That Trump Is a Messiah Is Rampant and Dangerous | Psychology Today https://t.co/teXC8y1agk,1,HOF
Who's excited for the debates in 2 weeks? #DEMOCRATS2020 #BLUEWAVE2020 #KEEPTHEWAVEGOING #FUCKTRUMP #DUMPTRUMP,0,NOT
@siddtalks @ZeeNews Its @NEWS9 airing the Fraud n Duping by #IMAfraud #ImaJewels in Bangalore for last 4-5 days.Most biggies of politics from Bangalore seems to be under pressure.,0,NOT
I request all Muslim friends to keep the money in bank here onwards if your not feeling like taking interest from that please contribute same to poor people or disabled people.. Dont get cheated by the name of religion #IMAJewels #Imafraud #Imascam @MuslimAdvocates @muslimvoices,0,NOT
Non doctor but sensible people of this country. This is thought to ponder upon. Voice your opinion. Share your your happy stories abkut health care.  Stay with Doctors. Show your solidarity.  #DoctorsFightBack https://t.co/CmMXUtpc46,0,NOT
Our voices shall be heard ! This cause needs more media coverage because public health and education do matter and being oppressed in this brutal way is NOT okay ! #medicalstudent #DoctorsUnderOppression #DoctorsFightBack #DoctorsProtest https://t.co/ngSsN3lVFH,0,NOT
@realDonaldTrump I hope you do not have a Happy Birthday Mr. President. You can go and kiss my skinny 16 year old ass because never will you ever be my goddamn president and I donâ€™t care what the hell you think!!! #FuckTrump https://t.co/EaxFfvOPGI,1,HOF
Missouri Lawmakers Are Desperate to Make Sure Voters Donâ€™t Have a Say When It Comes to Abortion #Resist #ResistTrump #FuckTrump https://t.co/I9CWKFCXdl,0,NOT
@BCCI every single Indian who r going to watch #WorldCup2019 in stadium...plz take army insignia with you #DhoniKeepsTheGlove #IndiaWithDhoni #DhoniKeSaathDesh #BalidaanBadge,0,NOT
#IAgreeWithRory @RoryStewartUK #BorisJohnsonShouldNotBePM #C4debate #BritishandAshamed so sorry @AgnesCPoirier #YellowRose ðŸ’› from #BritInFrance ðŸ’ https://t.co/6OKwenJKwe,0,NOT
@natacchelpline Who does the voice over for your advert because he has the exact same voice as Ian Huntley and I think of him every time I hear it. #murderer #NationalAccidentHelpline,0,NOT
#BorisJohnson isn't daft- he wasn't on #C4Debate and he didn't attend the Q&amp;A because no-one involved in either of those has any say in the vote... He thinks he's already won #BorisJohnsonShouldNotBePM https://t.co/HOGq9wz56I,1,HOF
#MarshallUniversity Ex #Student Fights #College Over Fate of Alleged #Rapist https://t.co/FZvguG55Qc,0,NOT
"Could this 24 year old immigrant (@ARMilani_) be the thorn in BJ's side?     In a General Election, if the Prime Minister loses his/her seat he would be finished ..    #BorisJohnsonShouldNotBePM   #BollocksToBoris   #BollockstoBrexit https://t.co/gZNiiewXoK",0,NOT
"@SpeakerPelosi Nancy, why aren't we starting impeachment inquiry? What can be wrong by placing the misdeeds in front of America? It would show strength. There would be no loss in standing up to truth? please explain.#TrumpIsATraitor",0,NOT
@Madonna Thank God for U! #MadameX #Madonna #Crave #madonnapride #PrideMonth #pride  Fuck the haters  #fucktrump #garbage,0,NOT
@realDonaldTrump â€¦ says the guy who was installed by Putin!    #NotMyPresident   #ImpeachTrumpNow   #TrumpIsATraitor,1,HOF
In most cases over recent years it has involved unwillingness to pay fees &amp; dissatisfaction over the outcome of a medical case - similar problems have been on the rise in many countries as public hospitals struggle to cope with ageing &amp; more complex patients...  #DoctorsFightBack https://t.co/XBAVZyp7o5,0,NOT
@ReignOfApril @Oprah @OWNTV Consumate Asssssssssshoooooooooole @realDonaldTrump had a significant hand in that trauma.     #FuckTrump,1,HOF
Thank you @nedprice for doing what @kwelkernbc didn't!! @msnbc keep that hag Conway OFF THE AIR!! #VOTEBLUE2020 #Resist #Resistance #TheResistance #FuckTrump #DoYourJobMitch #DitchMitch  #VoteBlueNoMatterWho #VoteBlueToSaveAmerica #FlipTheSenate #TraitorTrump https://t.co/6TS44b1QQG,0,NOT
Do u support him for his action? Is this right or wrong? Comment belowðŸ‘‡ðŸ‘‡ðŸ‘‡ #DhoniKeepTheGlove #DhoniKeepTheGloves #Dhoni #DhoniKeepsTheGlove #dhonigloves #DhoniVsICC #DhoniKeepBalidaanBadgeGlove #mahendrasinghdhoni #WorldCup2019 #WC2019WithTimes https://t.co/jjzYZPa045,0,NOT
More evidence piles in.      Happy #JohnMcCainDay #TrumpIsATraitor #TrumpCrimeFamily #Oreo #DitchMitch2020 #arrestBARR  #Vets https://t.co/1R3hhH3mxW,0,NOT
"AIIMS New Delhi @AIIMSRDA issued an ultimatum of 48 hours to #WestBengal  govt. to meet the demands of the striking doctors there, failing which they would be forced to resort to an indefinite strike in AIIMS New Delhi.     #DoctorsFightBack https://t.co/n5wC2OhT2T",0,NOT
"Which included Syed Ali Shah Gilani, Chairman, All Parties Hurriyat Conference.  Masarat Alam also revealed that there are rifts in the Hurriyat Conference regarding collection and use of funds.â€  #terroristNationPakistan",0,NOT
"Yes.... If you can't be there for us in our time of need, then don't expect free over the phone advice .... #SaveTheDoctors #EnoughIsEnough #DoctorsProtest #DoctorsFightBack #DoctorsUnderOppression #doctors_against_assualt https://t.co/TPfThErU9H",0,NOT
@BCCI you contribute around 30% of the total @ICC 's revenue. Despite this you are acting helpless.              Take a stand. Be brutal when it comes to our Indian Para Forces.   #BalidaanBadge is our national pride.  #DhoniKeepsTheGlove    Thank you @msdhoni,0,NOT
"Where were the IMA &amp; other associations when doctors were being hounded for a year after #BRDOxygenTragedy without any fault of their own? Doctors need to stand up with each other, no matter who the assaulter is and who is in power  #DoctorsFightBack #DoctorsProtest",0,NOT
Happy #JohnMcCainDay @realDonaldTrump you fat piece of shit! #fucktrump https://t.co/KZT0pK8Ogj,1,HOF
Eton College. School Report. 1982. https://t.co/R7jT92nuhX #BorisJohnsonShouldNotBePM,0,NOT
I genuinely canâ€™t believe Nazanin still hasnâ€™t been released. Even more unbelievable is that Boris Johnson could be our next PM. Our Government should hang their heads in shame. #FreeNazanin #BorisJohnsonShouldNotBePM https://t.co/T6aXIv8M14,1,HOF
"Here's the truth about Boris Johnson and his history of sexism, racism, lies, homophobia, gaffes and scandals (all material fully sourced)  #Boris #BorisJohnson #BorisForPM #Boris4PM #BorisJohnsonShouldNotBePM   https://t.co/Re17a7VmYY",1,HOF
White House Reportedly Blocked Written Testimony of Official on Climate Change #Resist #ResistTrump #FuckTrump https://t.co/dtvr8sbVXs,0,NOT
@realDonaldTrump This is the report that your own people have not briefed you on because they don't trust you where Russia is involved. Your own insider's know you are compromised by russia.  #TrumpIsADisgrace   #TrumpIsATraitor   #RussianAsset  #PutinPuppet,1,HOF
Are you going to Donate Blood today?   You can save a lot of people today...    #donateblood #donate #WorldBloodDonorDay #NBAFinals #FridayMotivation #FridayFeeling #ShameonICC #WeTheNorth #instagramdown #SaveBengal #SCOSummit2019 https://t.co/RXv1669BeA,0,NOT
"Oh, Dr Disrespect. Yet another â€˜influencerâ€™ that thinks fame means rules donâ€™t apply to them. I hope Twitch bans him for life and not just a suspension.    #twitch #DrDisrespect #dickhead",1,HOF
Where does a douchebag get fitted? https://t.co/pi5e6X1vRk #trump #douchebag #donjr #erictrump #jaredkushner #menswearhouse #TrumpUKVisit,1,HOF
@grahamlithgow #JohnnyMercer said he wants Britain back on it's feet again It's #BREXIT that's knocked Britain off it's feet Solution to the problem is to #revokearticle50  #borisjohnson @BorisJohnson #BorisJohnsonShouldNotBePM,0,NOT
Pic 1:- Indian grounds    pic 2:- Others grounds    #ShameOnICC #INDvNZ #CWC19 https://t.co/eaBkxe55X4,0,NOT
Count duckula and igor or @BorisJohnson  and @Jacob_Rees_Mogg ?  #conservativeleadership #ToryLeadershipContest #BorisJohnsonShouldNotBePM https://t.co/F58Mde8qav,0,NOT
Day 5th. No trace of Aircraft. #AN32Aircraft #MissingAN32.  #DhoniKeepsTheGlove #DhoniKeepTheGloves #DhoniAtCWC19 #Dhoni @ysjagan @PrashantKishor @pappuyadavjapl @dileepyadavjnu @yadavakhilesh @Mayawati @yadavtejashwi @laluprasadrjd https://t.co/eRqY3ZuvYf,0,NOT
"#EVMsarkar seems to be desperately wanting to TOPPLE #WestBengal Govt - and using #IMA (#indianmedicalassociation ) as a TOOL !    #Doctors who are members of IMA, are SITUATIONAL PRISONERS !    #DoctorsStrike is FOR THIS, which is being staged by #IMAFraud !    #EVM #EVMPM #Mamata https://t.co/qQGLg10fgv",0,NOT
"#DhoniKeepsTheGlove, @BCCI ,@ICC . Why ICC is double standard. Allowing namaz on ground to Pak players, but not allowing @msdhoni to wear #BalidaanBadge gloves. Is @BCCI surrendering to @ICC . We condemn this act of ICC",1,HOF
@ICC @bcci @msdhoni #DhoniKeepsTheGlove     If u can allow namaz on ground    If u allow save gaza band    If u allow salute on ground    Then whats wrong in balidaan badge    R u a fool icc or its clear u hv double standard u r not keeping ur words    World doesn't need icc,1,HOF
#ShameOnICC who is better,0,NOT
Hey Is It True The Obama's R Getting A Divorce?  #ObamaMyPresident #FuckTrump,0,NOT
#DhoniKeepsTheGlove Anything Abrahamic cricketing countries display on field = ok. #cricket journos and writers (including Indian) have high population of #Hinduphobic leftists. hypocrisy a clear indication of the #Hinduphobia to come.,1,HOF
"Mohammed Amin the chairman of the Conservative Muslim Forum has made comparisons between leadership hopeful Boris Johnson and Adolf Hitler, and will quit if Johnson becomes prime minister..  https://t.co/706JhSS0eS    #BorisJohnsonShouldNotBePM   #BollocksToBoris   #BollockstoBrexit https://t.co/O4nhc9aqit",0,NOT
"Test tweet #1     Will anyone who sees this comment or like.    I cant send tweets from news...    Possibly otherwise, yet Iâ€™m not on any â€œsuspensionâ€ that I have been made aware of.     I did post some â€œinteresting informationâ€ a couple days ago, about our #rapist president. #katiesarmy",0,NOT
"en route to collect more college transcripts for law degree, then â€˜Million Dollar Listingâ€™ Show as Realtor, then â€˜Women in Filmâ€™ fun @BeverlyHilton to continue selling my TV Show. #HappyHumpDay #FuckTrump ðŸ˜Ž",0,NOT
This cop called for America to slaughter all â€˜sodomite reprobates.â€™ Theyâ€™re letting him â€˜retire.â€™ #Resist #ResistTrump #FuckTrump https://t.co/2gu2um9WfK,1,HOF
#India request Doctors kindly  immediately call off the strike. Newborns are dying without their help #DoctorsProtest #DoctorsFightBack #DoctorsStrike,0,NOT
"Read #borisjohnson's @Wikipedia page; from his disasterous tenure as Mayor of London, to his endorsement by the BNP, it tells you who he really is and his awful track record speaks for itself. #BorisJohnsonShouldNotBePM #notmypm https://t.co/FDNOgr9CyX",1,HOF
Can we do a FB party for those that have gotten screwed over?   For everyone who ended up in Twitmo?   Letâ€™s get some followers back.   #TrumpIsTheEnemyOfThePeople   #TrumpIsADisgrace   #TrumpIsAFraud   #TrumpIsATraitor   #TrumpIsAMoron   Please RT and follow back! https://t.co/kfEpIJwnTH,0,NOT
"Honeys, Fellow Veterans and Active Duty, We All feel this way! ðŸðŸŒŠðŸ‡ºðŸ‡¸  #TrumpIsATraitor   #MarchAgainstFascism   #MarinesagainstTrump https://t.co/nr5nvJfLL5",0,NOT
@realDonaldTrump WRONG Stop with the lies you sick evil  #DEMENTED   #LyingTrump   #PutinsPuppet   #TRUMPcriminalIMPEACHMENT   #TrumpCrimeFamily   #locktrumpup   Just resign you will never lie you way out of this.   #TrumpIsATraitor,1,HOF
@realDonaldTrump FAKE NEWS #TrumpIsATraitor #TrumpRussia #TrumpLies #TrumpCrimeFamily #TrumpMustGo,0,NOT
"#brilliantlymade #free #the #innocent #fucktrump @ Oakland, California https://t.co/rC4Rwdkfc6",0,NOT
Justin Bieber challenges Boris Johnson to a TV debate  https://t.co/Mm4ChBZtcJ  #ToryLeadershipDebate #borisjohnson #JustinBieber #politics #comedy @haveigotnews @NewsjackBBC @bbcbreakthenews @PrivateEyeNews @TheNewsQuiz @BBCNowShow #BorisJohnsonShouldNotBePM,0,NOT
"Trump Brags About Mexico Deal, but Reveals No Details #Resist #ResistTrump #FuckTrump https://t.co/t6agTfuXel",0,NOT
Being a doctor onbehalf of entire medical fraternity.   #Savethedoctors #SAVETHESAVIOUR #DoctorsProtest   #DoctorsFightBack   #medicalstudent #DoctorsStrike   #DoctorsUnderOppression https://t.co/xu4xMbLMAb,0,NOT
@realDonaldTrump Well isn't that the pot calling the kettle ZERO CREDIBILITY ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ Maybe if you didn't LIE ABOUT EVERYTHING you'd have an ounce of credibility but we all know you #TrumpIsATraitor and you will be leaving very soon. #TrumpDerangementSyndrome https://t.co/PhruMpZQyj,1,HOF
#FUCKTRUMP LETS GO #BIDEN2020ðŸ˜‚ðŸ˜‚ https://t.co/aOW3YBV4E5,0,NOT
ICC should never mess with #Dhoni because #DHONIKESAATHDESH     https://t.co/qs6wft1mimâ€¦     #dhonigloves #DhoniKeepBalidaanBadgeGlove #DhoniKeepsTheGlove https://t.co/nt6mNbmD2y,0,NOT
#DhoniKeepsTheGlove  *dhoni gloves controversy*  BCCI to ICC : https://t.co/oo2RH6EE3S,0,NOT
There's some really intense melting in the Arctic right now #Resist #ResistTrump #FuckTrump https://t.co/0vzMpVicDS,0,NOT
Seniors greeted and cheered by juniors after mass resignation.. This is life.. This is unity.. This is pride.. Kudos.   #DoctorsFightBack https://t.co/qzVdtqWUUe,0,NOT
"@realDonaldTrump #FuckTrump Pussy Grabber, Don the Con, Draft Dodger Donnie, Putin's Puppet,  Cadet Bone Spurs, Fucking Moron https://t.co/NXCaHHymjD",1,HOF
"Dhoni should get rid of the gloves and remain away from any army insignia immediately, no room for overt display of patriotism on the cricket field, your Indian cap ðŸ§¢ should serve all the symbolism you wanted to indulge in #DhoniKeepsTheGlove #dhonigloves https://t.co/2GjjgLDzxK",1,HOF
YAY for USA!    #Rape #USA #Rapist #ProtectedSpecies #Women #Gilead #GOP #WhiteMalePrivilege https://t.co/ZOfRE8ShZI,0,NOT
"Protesting doctors applaud as more doctors resign and walk out of Medical College and Hospital, Kolkata #MamataLosingControl #BengalDoctorsStrike #DoctorsFightBack https://t.co/2moqn60PRE",0,NOT
King Joffrey: 47%  Donald Trump: 41%    #FuckTrump   #Trump41,1,HOF
#ShameOnICC  Even local cricket tournament have better management &amp; planning than your's .   Thankyou for spoiling the worldcup. https://t.co/tfYxvOreN7,1,HOF
Points table right now.  #ShameOnICC #cwc19 https://t.co/uckawoVZQz,0,NOT
But it's not being risk averse that keeps #Johnson away from scrutiny is it? It's a belief that he should be  beyond accountability. He is road testing autocracy. #BorisJohnsonShouldNotBePM https://t.co/Gf9PFy4dJJ,0,NOT
"@GOPLeader Either you're unable to read, or you're as corrupt as the Felon-in-Chief is and are complicit in helping him to cover up crimes he's committed. #FuckTrump #TrumpCrimeFamily #ImpeachTrumpNow",1,HOF
@Reuters All countries who care about their safety and security should #BanHuawei.   #Huawei is just a spying tool developed and extensively used by the Communist Party of China.    #CommunismKills #BoycottChina #oppression,1,HOF
"@anjanaomkashyap , hope you stand up for @msdhoni and ðŸ‡®ðŸ‡³ #DhoniKeepsTheGlove https://t.co/sE6CtNwEH5",0,NOT
If England can do this  so why not india can do this   #ICC #Balidan #DhoniKeepsTheGlove https://t.co/i5eq7VRWad,0,NOT
#DhoniKeepsTheGlove   He had a full rights because he is a Para Regiment Officer https://t.co/1PQwmOL2E4,0,NOT
Fuck iccðŸ–•ðŸ–•ðŸ–•ðŸ˜ u just want to finish the wc..by giving 1 pts..then how u know the good and bad teams  @ICC @ICCMediaComms @cricketworldcup  #ShameOnICC,1,HOF
@RiskyLiberal @realDonaldTrump ðŸ™ŒðŸ¼ the large subsidies that those broke soybean farmers received courtesy of the US taxpayer IMO actually put us in the negative so weâ€™re worse off. Thx @realDonaldTrump #IdiotTrump,0,NOT
@Newsweek Happy #JohnMcCainDay     #FuckTrump,0,NOT
India trends â¤ï¸ðŸ‡®ðŸ‡³ @msdhoni #IndiaWithDhoni #DhoniKeepTheGlove #DhoniKeSaathDesh #DhoniKeepsTheGlove ðŸ™ðŸ»ðŸ™ŒðŸ» @BCCI @ICC @Twitter https://t.co/RbpIW83Di8,0,NOT
@herman_maureen @funder @1CraftyWitch @PenceConscience @adamcbest @flyaway_k @agavecorn @7brdgesroad @Steelerschic85 @Cruellaisdevine @HoarseWisperer @DeadBunnyFrank @mmpadellan @Amy_Siskind @saltycomment Thank you Mo #FuckTrump #ImpeachmentHearingsNow ðŸ’—â˜®ï¸ðŸ‡ºðŸ‡¸ðŸŒŠâœŠenough is enough https://t.co/Ioqa1aDKf8,0,NOT
#2019WorldCup Worst in History in terms of #Rain!  .  https://t.co/xjJjG9uE7x  .  .  #CWC19 #CWC2019 #INDvsPAK #INDvsAUS #INDvsNZ #ICCWorldCup2019 #ICCCricketWorldCup2019 #ICCWC2019 #ICC2019 #ShameOnICC #ShameICC https://t.co/lnncLilLJk,0,NOT
True story! #Resistance #BlueWave2020 #Immigrants #fucktrump https://t.co/BMAiFNMBs4,0,NOT
@lifetothemax1 The funniest part about it is that no one else would have even noticed the cough if he wouldnâ€™t have pointed it out. #DoucheBag,0,NOT
I didnâ€™t see Molly Mae asking permission from Amy before she asked Curtis out the hypocritical little shit #dickhead #TeamMaura #LoveIsland,1,HOF
Professionals like doctors and nurses shouldn't have to be worried about protecting themselves while saving patients lives.  I hope a good constructive solution can be arrived at without politicizing the issue.       #DoctorsFightBack https://t.co/wgjrRK4msm,0,NOT
@skroskz @shossy2 @JoeBiden Biden &amp; his son Hunter took advantage of their position to use Air Force 2 to wheel &amp; deal with China &amp; Ukraine! I donâ€™t trust Biden or his son Hunter who left his wife &amp; kids to move in with his dead brotherâ€™s wife &amp; family! #DOUCHEBAG,1,HOF
@realDonaldTrump Of course you hate MSNBC because they tell the truth and the truth is that you are an incompetent buffoon without a shred of decency.  You are a complete and absolute disaster.  #IdiotTrump,1,HOF
Why we need a #CongressMuktBharat https://t.co/4IPLhW5Q0w,0,NOT
@ICC should understand that  #BalidaanBadge is not related to any political/religious/racial activities.    This is about our #NationalPride  #DhoniKeepsTheGlove,0,NOT
"My corner piece of mind, is all that I can find, when i look for a reason,  to pass this unhealthy treason. #TrumpIsATraitor https://t.co/fZvhoXaOAK",0,NOT
@toughgal66 @MrsRabbitResist I am following you now- hoping to catch you swearing- lol-I swear a lot also #FUCKTRUMP!,1,HOF
@waggytailkobe @Ex_Machina77 @JonnyBlze @realDonaldTrump @FoxNews Right..........#douchebag,0,NOT
Survival kit for next 5 years in IndiaðŸ˜ðŸ˜ @narendramodi @BJP4India  #3YearsofChange #RahulGandhi #ShameOnICC #TrollSangh https://t.co/dbY7lTtqbP,0,NOT
Watch and Share https://t.co/1lUKMt59A9 @RBReich The 7 Failures of Trumponomics #trumptax #TrumpIsATraitor,0,NOT
Salute to doctors who risk their very own lives but continue to serve their motherland ðŸ™‡â€â™‚ï¸  #Savethedoctors   #DoctorsFightBack   #DoctorsProtest   #SaveBengal https://t.co/zz3ugTioiZ,0,NOT
@ICC i think u do have some work rather than seeing on dhoni's gloves...if u don't have then i can suggest u to improve the quality of ur great umpires ..plz go and improve the quality bcz #DhoniKeSaathDesh   #DhoniKeepsTheGlove   #BalidanBadge,1,HOF
"@cher YOU AND ME BOTH, GIRL. &lt;3 #FuckTrump",0,NOT
@ICC @Bazmccullum @PathakRidhima How can someone be happy without watching cricket... #ShameOnICC,0,NOT
Future #WC will be like... #ShameOnICC https://t.co/BNv2yIVgDJ,0,NOT
